Ouachita,39135,27
Plaquemines,47225,8
Pointe Coupee,42976,17
Rapides,44128,16
Red River,38966,22
Richland,35988,45
Sabine,33001,52
St. Bernard,30974,62
St. Charles,47247,9
St. Helena,39875,23
St. James,46155,11
St. John the Baptist,38830,31
St. Landry,39179,26
St. Martin,35705,44
St. Mary,37142,35
St. Tammany,58848,1
Tangipahoa,37474,38
Tensas,36060,49
Terrebonne,39379,24
Union,37117,39
Vermilion,36943,37
Vernon,38756,28
Washington,32210,57
Webster,38000,33
West Baton Rouge,45169,14
West Carroll,34625,48
West Feliciana,37266,40
Winn,35068,47
,,
Maine,46570,0
Androscoggin,39600,9
Aroostook,39387,10
Cumberland,59331,1
Franklin,36874,13
Hancock,48782,5
Kennebec,43096,7
Knox,49443,2
Lincoln,48449,6
Oxford,36245,16
Penobscot,39976,8
Piscataquis,36588,14
Sagadahoc,48764,4
Somerset,36980,15
Waldo,38833,11
Washington,38836,12
York,49665,3
,,
Maryland,60512,0
Allegany,38754,23
Anne Arundel,64519,4
Baltimore,58638,9
Calvert,59974,7
Caroline,44788,20
Carroll,60423,6
Cecil,45650,17
Charles,54857,13
Dorchester,44916,19
Frederick,59455,8
Garrett,43328,21
Harford,56436,12
Howard,75026,2
Kent,58154,10
Montgomery,85345,1
Prince George's,47348,16
Queen Anne's,62287,5
St. Mary's,54446,14
Somerset,31147,24
Talbot,69455,3
Washington,45087,18
Wicomico,40839,22
Worcester,58054,11
Baltimore City,48945,15
,,
Massachusetts,68233,0
Barnstable,70777,6
Berkshire,54135,10
Bristol,51710,12
Dukes,89082,2
Essex,64354,7
Franklin,52477,11
Hampden,49416,14
Hampshire,50857,13
Middlesex,79583,4
Nantucket,117909,1
Norfolk,87474,3
Plymouth,64316,8
Suffolk,77036,5
Worcester,54439,9
,,
Michigan,46258,0
Alcona,36624,53
Alger,32245,80
Allegan,42787,20
Alpena,39510,35
Antrim,44756,16
Arenac,36085,62
Baraga,31664,81
Barry,43036,23
Bay,40192,31
Benzie,41620,28
Berrien,45651,15
Branch,35438,61
Calhoun,38608,39
Cass,43298,21
Charlevoix,49855,8
Cheboygan,38120,41
Chippewa,32579,76
Clare,32913,78
Clinton,44687,18
Crawford,32483,74
Delta,38423,38
Dickinson,46503,11
Eaton,40948,30
Emmet,54537,6
Genesee,39380,34
Gladwin,35674,65
Gogebic,37352,44
Grand Traverse,48387,9
Gratiot,35599,59
Hillsdale,34569,66
Houghton,35650,60
Huron,43446,19
Ingham,38893,36
Ionia,33339,71
Iosco,36055,57
Iron,42799,22
Isabella,33638,69
Jackson,38031,45
Kalamazoo,46675,12
Kalkaska,33338,75
Kent,51268,7
Keweenaw,45092,13
