,unique_county,COPD,CHOLSCREEN,KIDNEY,BINGE,CHECKUP,PHLTH,OBESITY,ARTHRITIS,CASTHMA,DENTAL,SLEEP,CANCER,LPA,BPHIGH,DIABETES,STROKE,BPMED,CSMOKING,MHLTH,CHD,Rank,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
249,RutherfordTennessee,5.9079999999999995,73.736,2.0440000000000005,14.308,72.196,11.852000000000002,32.72799999999999,22.024000000000004,9.6,58.88799999999999,37.08,4.864,26.604,28.248,7.659999999999999,2.1639999999999997,69.83200000000001,19.904000000000003,14.116000000000003,4.396,1037,Rutherford,Tennessee,25077.0,55401.0,66755.0,"269,407","96,731",47149.0
250,SacramentoCalifornia,5.470879120879121,72.12637362637363,2.5219780219780215,18.159890109890107,62.41923076923076,12.3532967032967,25.55274725274725,21.489560439560446,9.96648351648352,61.30164835164837,33.60164835164834,5.488461538461541,20.130769230769243,29.715384615384618,9.3967032967033,2.795054945054946,67.04835164835161,15.243956043956041,12.630769230769232,5.208241758241757,700,Sacramento,California,26739.0,55064.0,64154.0,"1,435,207","517,243",6067.0
251,Salt LakeUtah,4.123622047244095,65.84724409448818,2.2385826771653554,14.87874015748031,58.171653543307066,10.415748031496063,25.158267716535434,18.20157480314961,9.61102362204724,65.11732283464566,32.429133858267726,5.069291338582679,21.802362204724414,22.478740157480313,7.377952755905508,2.188976377952756,65.50866141732284,11.210236220472446,11.634645669291345,3.963779527559053,817,Salt Lake,Utah,26103.0,60555.0,70215.0,"1,048,314","344,089",49035.0
252,San BernardinoCalifornia,5.554237288135596,71.52949152542375,2.672542372881355,16.07694915254238,65.04305084745765,14.244406779661025,30.566779661016945,19.811864406779666,9.057966101694914,55.67966101694914,37.56338983050847,4.900338983050844,26.052203389830517,29.20440677966103,10.582033898305085,2.8644067796610164,66.5884745762711,16.508813559322043,13.745084745762709,5.24813559322034,2015,San Bernardino,California,21332.0,54090.0,59294.0,"2,056,915","603,879",6071.0
253,San DiegoCalifornia,4.7205284552845495,72.93048780487804,2.4506097560975624,18.651219512195112,64.18252032520326,11.445731707317078,23.215040650406536,17.773577235772343,8.081097560975612,62.8158536585366,34.94857723577231,5.700406504065043,18.60365853658535,25.541869918699184,8.340243902439028,2.5109756097560965,67.22947154471547,13.085365853658537,11.566260162601628,4.626626016260163,289,San Diego,California,30668.0,62962.0,73495.0,"3,138,265","1,076,483",6073.0
254,San FranciscoCalifornia,3.896410256410257,75.81743589743587,2.27897435897436,20.671794871794866,65.75384615384615,9.572820512820515,19.03692307692307,16.91384615384615,7.640000000000001,68.36923076923077,33.60615384615384,5.274871794871794,16.942051282051278,25.219487179487185,8.68564102564103,2.324102564102564,68.4328205128205,11.364615384615389,9.832820512820515,4.441538461538461,14,San Francisco,California,48486.0,75604.0,90116.0,"817,501","345,344",6075.0
255,San JoaquinCalifornia,6.130999999999999,68.74600000000001,2.7749999999999995,16.676000000000002,63.903,14.648000000000001,28.922000000000015,21.343999999999998,9.280000000000006,54.65399999999999,37.356,5.118,26.399000000000004,30.261000000000003,11.552000000000003,3.2230000000000008,68.959,17.222,14.155,5.779999999999998,1668,San Joaquin,California,22589.0,53380.0,59900.0,"693,177","215,563",6077.0
256,San MateoCalifornia,3.9696969696969697,77.66363636363634,2.271212121212122,16.462121212121207,65.32878787878788,9.83787878787879,20.38484848484848,16.957575757575757,7.521212121212122,69.9257575757576,32.237878787878785,5.959090909090908,18.015151515151512,26.68484848484849,8.545454545454541,2.2227272727272727,70.90151515151517,10.665151515151512,9.67727272727273,4.463636363636364,21,San Mateo,California,45732.0,88202.0,105844.0,"729,543","257,941",6081.0
257,SandovalNew Mexico,5.56,74.17333333333333,2.5066666666666664,15.033333333333335,61.213333333333345,11.406666666666666,26.0,22.499999999999996,9.093333333333335,64.92666666666666,32.17333333333334,6.033333333333332,18.573333333333334,26.2,8.433333333333334,2.54,71.74666666666666,16.66666666666667,11.293333333333331,5.04,663,Sandoval,New Mexico,26924.0,58017.0,65768.0,"133,503","47,164",35043.0
258,SangamonIllinois,7.441860465116276,74.28139534883721,2.844186046511628,18.49302325581395,68.05348837209303,13.027906976744188,33.04418604651163,25.767441860465123,9.776744186046514,60.56976744186048,35.43023255813954,6.713953488372091,29.434883720930234,33.85813953488372,10.774418604651164,3.5186046511627898,76.42558139534883,20.523255813953483,12.572093023255812,6.567441860465115,332,Sangamon,Illinois,29974.0,55449.0,71338.0,"198,269","82,807",17167.0
259,Santa BarbaraCalifornia,5.130952380952381,71.58333333333336,2.676190476190475,18.054761904761907,62.835714285714275,12.554761904761904,25.31666666666667,19.380952380952383,8.47857142857143,63.20714285714284,32.12619047619047,6.200000000000001,21.195238095238093,27.72857142857144,9.321428571428571,2.7428571428571424,67.00714285714287,13.069047619047616,12.242857142857144,5.442857142857143,312,Santa Barbara,California,30352.0,62779.0,72602.0,"427,288","141,720",6083.0
260,Santa ClaraCalifornia,3.6342192691029886,75.83122923588036,2.1129568106312306,15.346179401993348,63.5209302325581,9.559800664451833,19.612956810631218,14.40664451827242,7.384717607973423,69.23687707641194,34.44119601328902,5.0953488372093005,18.644850498338887,22.7986710963455,8.275415282392027,2.017275747508305,66.82159468438535,10.861461794019926,9.845514950166118,3.937209302325581,38,Santa Clara,California,41513.0,91702.0,103983.0,"1,812,208","609,377",6085.0
261,Santa FeNew Mexico,5.749999999999999,75.84642857142856,3.1464285714285714,12.14642857142857,63.685714285714276,12.753571428571432,21.110714285714288,24.928571428571427,9.067857142857141,68.05714285714286,26.182142857142853,7.467857142857141,19.403571428571432,27.48928571428571,9.62857142857143,2.9107142857142856,75.03928571428571,15.078571428571433,10.664285714285715,5.95357142857143,212,Santa Fe,New Mexico,32298.0,52917.0,64737.0,"145,400","61,012",35049.0
262,SchenectadyNew York,7.75,71.78999999999998,2.665,17.369999999999997,70.28000000000002,15.059999999999999,31.355,25.535,11.575000000000001,57.010000000000005,41.72,5.705000000000001,32.449999999999996,31.145,9.84,3.3899999999999997,72.08,24.419999999999998,15.695000000000002,6.079999999999999,458,Schenectady,New York,28319.0,56061.0,73910.0,"154,821","58,059",36093.0
263,ScottIowa,6.267741935483871,70.96774193548387,2.512903225806452,19.858064516129037,69.05161290322582,11.496774193548388,36.29354838709676,26.454838709677418,8.890322580645162,66.21935483870968,33.38709677419355,6.506451612903226,29.177419354838708,29.66774193548387,9.33548387096774,2.9903225806451608,76.88387096774196,20.245161290322578,11.516129032258064,5.906451612903226,398,Scott,Iowa,28948.0,52735.0,70480.0,"167,080","67,049",19163.0
264,SebastianArkansas,8.923809523809524,70.66190476190476,3.0000000000000004,12.36190476190476,68.0904761904762,16.67142857142857,31.633333333333333,27.385714285714283,10.023809523809527,54.60476190476191,37.62857142857143,6.38095238095238,36.790476190476184,37.80476190476191,11.904761904761907,3.8428571428571425,77.05714285714285,22.80952380952381,15.242857142857142,7.828571428571427,1488,Sebastian,Arkansas,23222.0,40471.0,50511.0,"126,536","49,294",5131.0
265,SedgwickKansas,6.84056603773585,69.16603773584907,2.788679245283019,14.128301886792448,67.77264150943394,11.713207547169807,36.40471698113207,23.37735849056604,9.516981132075475,62.19999999999999,32.96415094339621,6.1726415094339595,29.33396226415096,32.21320754716982,10.574528301886797,3.2716981132075467,74.43962264150942,21.90943396226415,11.175471698113203,6.114150943396225,923,Sedgwick,Kansas,25603.0,49865.0,63042.0,"500,768","192,651",20173.0
266,ShastaCalifornia,7.429629629629629,75.93703703703703,2.9111111111111114,16.433333333333334,63.70370370370371,13.72222222222222,23.577777777777776,26.944444444444443,9.57777777777778,62.05555555555556,32.588888888888896,7.72962962962963,20.274074074074072,31.39259259259259,9.65925925925926,3.507407407407408,73.54444444444442,16.296296296296298,13.025925925925925,7.025925925925928,1370,Shasta,California,23670.0,44651.0,54222.0,"177,966","68,980",6089.0
267,ShawneeKansas,7.23157894736842,71.00263157894737,2.9184210526315795,15.571052631578949,71.35526315789474,11.971052631578948,37.81578947368421,25.623684210526307,9.78947368421053,64.55,31.089473684210528,6.842105263157895,30.113157894736833,34.98421052631579,10.739473684210527,3.3526315789473684,76.93947368421054,23.202631578947365,11.573684210526316,6.263157894736842,825,Shawnee,Kansas,26057.0,48451.0,63230.0,"178,378","72,584",20177.0
268,ShelbyAlabama,5.015384615384614,83.0,2.1538461538461537,13.853846153846156,73.76923076923077,9.207692307692307,28.315384615384616,26.338461538461537,8.361538461538462,75.50769230769231,32.43076923076923,6.86923076923077,22.561538461538458,31.846153846153847,7.838461538461539,2.1307692307692307,76.4846153846154,12.26923076923077,9.992307692307692,5.06923076923077,166,Shelby,Alabama,33313.0,68770.0,82558.0,"198,366","74,144",1117.0
269,ShelbyTennessee,9.005617977528093,73.59101123595504,3.482022471910112,11.410674157303374,75.77696629213483,17.779775280898882,38.54494382022474,26.776404494382028,10.961235955056177,47.771348314606726,40.43539325842696,5.464606741573035,33.270786516853946,42.94438202247191,15.642134831460675,4.87808988764045,79.04044943820226,25.375842696629217,17.060112359550562,7.3882022471910105,934,Shelby,Tennessee,25549.0,46250.0,57213.0,"932,919","343,517",47157.0
270,SmithTexas,7.022222222222221,69.38148148148149,2.951851851851852,15.422222222222226,68.35185185185186,13.718518518518513,33.88148148148149,22.03333333333333,9.455555555555556,56.39259259259258,35.540740740740745,6.066666666666667,33.50000000000001,33.56296296296296,12.1,3.7481481481481476,76.42592592592592,19.9,12.633333333333333,6.6185185185185205,919,Smith,Texas,25626.0,47432.0,60259.0,"212,227","78,459",48423.0
271,SnohomishWashington,6.346153846153848,69.24230769230769,2.5615384615384618,16.576923076923077,60.073076923076925,12.80769230769231,29.465384615384615,24.10384615384616,10.292307692307691,63.776923076923076,35.503846153846155,6.226923076923077,20.938461538461542,28.769230769230774,8.342307692307692,2.7230769230769223,67.92692307692309,17.76153846153846,12.742307692307692,5.5,256,Snohomish,Washington,31349.0,68381.0,80856.0,"724,627","268,722",53061.0
272,SolanoCalifornia,5.370886075949366,73.8481012658228,2.5075949367088595,17.631645569620257,64.37848101265824,12.384810126582279,27.440506329113926,20.541772151898726,9.086075949367089,62.96075949367089,35.464556962025306,5.616455696202529,21.3632911392405,29.087341772151913,10.108860759493673,2.8772151898734184,69.51518987341773,14.639240506329111,12.236708860759492,5.241772151898735,400,Solano,California,28929.0,67177.0,76932.0,"417,258","141,464",6095.0
273,SonomaCalifornia,5.605555555555555,74.61388888888891,2.516666666666667,19.05833333333333,64.78888888888892,12.130555555555555,23.31111111111111,21.325,9.038888888888888,66.31944444444444,30.783333333333328,6.725,19.20277777777778,27.702777777777776,8.411111111111111,2.7,68.70555555555558,14.474999999999998,12.130555555555553,5.383333333333334,192,Sonoma,California,32835.0,63356.0,75896.0,"487,469","185,660",6097.0
274,SpokaneWashington,7.379268292682928,71.8951219512195,2.809756097560975,16.213414634146346,63.42682926829267,12.818292682926828,28.95487804878048,27.135365853658524,10.476829268292681,64.01341463414634,32.140243902439025,6.9439024390243915,21.054878048780484,29.9170731707317,8.810975609756097,3.1243902439024396,70.87317073170732,18.554878048780488,12.856097560975607,6.123170731707318,913,Spokane,Washington,25661.0,49233.0,62589.0,"473,832","187,572",53063.0
