,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
3023,Chickasaw,Mississippi,16677.0,31061.0,36783.0,"17,403","6,614",28017
3024,Zapata,Texas,16671.0,31109.0,37267.0,"14,164","4,460",48505
3025,Washington County,Mississippi,16671.0,28093.0,33025.0,"50,578","18,123",28151
3026,Lee,Virginia,16664.0,31308.0,40704.0,"25,497","9,653",51105
3027,Tyrrell,North Carolina,16658.0,34216.0,38493.0,"4,272","1,480",37177
3028,Monroe,Kentucky,16656.0,29808.0,39949.0,"10,874","4,401",21171
3029,DeKalb,Missouri,16635.0,44092.0,57163.0,"12,873","3,769",29063
3030,Navajo,Arizona,16626.0,36927.0,43516.0,"107,326","34,343",04017
3031,Prentiss,Mississippi,16589.0,32503.0,42093.0,"25,354","9,611",28117
3032,Sussex,Virginia,16546.0,39635.0,53520.0,"12,007","3,704",51183
3033,Escambia,Alabama,16540.0,30687.0,36550.0,"38,169","13,681",01053
3034,Chicot,Arkansas,16538.0,26201.0,34451.0,"11,621","4,510",05017
3035,Marion,South Carolina,16531.0,29149.0,38974.0,"32,695","12,049",45067
3036,Lincoln,Idaho,16530.0,42433.0,47756.0,"5,221","1,617",16063
3037,Okfuskee,Oklahoma,16528.0,35170.0,43452.0,"12,268","4,246",40107
3038,Rockcastle,Kentucky,16513.0,30674.0,39404.0,"16,997","6,605",21203
3039,Falls,Texas,16486.0,32908.0,43216.0,"17,719","5,600",48145
3040,Johnson,Tennessee,16470.0,29609.0,36866.0,"18,158","6,921",47091
3041,Bolivar,Mississippi,16462.0,28599.0,36443.0,"34,107","12,301",28011
3042,Montgomery,Georgia,16460.0,32702.0,42933.0,"9,050","3,185",13209
3043,Fentress,Tennessee,16454.0,29192.0,37837.0,"17,943","7,348",47049
3044,Murray,Georgia,16449.0,34888.0,44811.0,"39,504","14,092",13213
3045,Estill,Kentucky,16435.0,29184.0,36327.0,"14,601","5,829",21065
3046,Concordia,Louisiana,16431.0,29022.0,38125.0,"20,652","7,642",22029
3047,Leslie,Kentucky,16424.0,29293.0,37796.0,"11,220","4,206",21131
3048,Ripley,Missouri,16408.0,32291.0,37009.0,"14,071","5,544",29181
3049,Douglas,Missouri,16404.0,32130.0,38312.0,"13,647","5,178",29067
3050,Wayne,Kentucky,16396.0,29497.0,36059.0,"20,797","8,083",21231
3051,Greensville,Virginia,16380.0,39697.0,47517.0,"12,078","3,389",51081
3052,Bath,Kentucky,16367.0,30797.0,36823.0,"11,732","4,447",21011
3053,Cedar,Missouri,16362.0,30302.0,38058.0,"13,903","5,970",29039
