,DENTAL,UniqueID,SLEEP,BPHIGH,COPD,CANCER,CHECKUP,DIABETES,CSMOKING,CHOLSCREEN,PHLTH,STROKE,KIDNEY,CHD,HIGHCHOL,CASTHMA,BINGE,LPA,BPMED,ARTHRITIS,MHLTH,OBESITY,ACCESS2,PAPTEST,COLON_SCREEN,MAMMOUSE,TEETHLOST,geometry,state,population,longitude,latitude,COREM,COREW,fips
160,48.3,1150000-11001009811,46.8,38.3,8.3,4.2,77.1,13.5,32.8,70.5,16.5,5.0,3.3,5.2,33.8,13.7,16.4,32.1,74.2,23.5,18.0,37.3,18.0,78.8,54.3,74.3,22.5,"(38.8266497689, -76.9984610365)",DC,4365.0,-76.9984610365,38.8266497689,21.7,20.4,11500
161,74.0,1150000-11001009901,36.8,44.6,5.6,8.1,84.1,14.2,14.8,88.0,11.0,4.8,3.7,6.3,38.1,10.4,14.8,21.7,84.6,28.7,9.4,29.1,7.1,89.2,74.1,82.5,9.1,"(38.8753463575, -76.9553331484)",DC,2249.0,-76.9553331484,38.8753463575,29.9,30.9,11500
162,58.4,1150000-11001009902,42.1,43.8,7.0,6.8,81.8,14.9,21.5,81.6,13.5,5.4,3.6,6.7,37.5,11.5,15.7,27.1,82.1,28.0,12.3,31.7,11.5,83.3,63.2,77.4,18.3,"(38.8717864101, -76.9445537751)",DC,2905.0,-76.9445537751,38.8717864101,24.9,23.5,11500
163,60.9,1150000-11001009903,42.0,38.0,6.3,5.4,79.7,12.5,22.6,77.5,12.8,4.6,3.3,5.2,33.6,12.0,17.2,25.8,78.1,23.8,13.3,31.8,12.0,84.4,62.8,78.6,16.2,"(38.8882874396, -76.9211942041)",DC,1851.0,-76.9211942041,38.8882874396,26.0,23.6,11500
164,48.4,1150000-11001009904,45.8,37.9,7.6,4.3,76.7,13.3,29.9,72.3,15.7,4.8,3.3,5.2,34.1,12.9,17.0,30.4,74.7,23.1,16.5,36.2,17.4,78.8,53.4,74.4,23.0,"(38.8851565661, -76.9311361548)",DC,2243.0,-76.9311361548,38.8851565661,22.4,19.8,11500
165,53.7,1150000-11001009905,44.9,40.1,7.4,5.0,79.0,13.9,27.4,76.2,14.8,4.9,3.3,5.5,35.3,12.5,16.8,29.3,77.9,24.9,15.1,34.7,14.3,81.5,58.7,76.5,19.8,"(38.8843187043, -76.9250526037)",DC,2795.0,-76.9250526037,38.8843187043,22.9,21.6,11500
166,53.9,1150000-11001009906,44.4,41.9,7.7,5.6,79.7,14.8,26.4,78.2,15.2,5.3,3.6,6.0,36.5,12.6,15.7,29.4,79.3,26.7,14.8,35.0,14.1,81.8,59.2,75.8,20.2,"(38.8879113008, -76.9359192295)",DC,1296.0,-76.9359192295,38.8879113008,23.5,21.9,11500
167,45.1,1150000-11001009907,46.9,41.0,9.1,4.7,78.0,15.1,32.3,71.9,17.9,5.8,3.7,6.2,35.8,14.0,15.1,33.3,76.7,26.0,18.1,37.6,18.3,77.3,52.0,73.1,26.5,"(38.8827717965, -76.9388145143)",DC,2836.0,-76.9388145143,38.8827717965,21.2,18.2,11500
168,79.7,1150000-11001010100,28.9,18.3,2.6,4.6,69.5,4.4,11.9,78.5,5.8,1.6,1.8,2.6,25.4,7.7,27.0,13.7,68.0,12.7,7.9,16.9,6.1,86.4,69.9,79.2,5.6,"(38.9026943635, -77.0318452229)",DC,2621.0,-77.0318452229,38.9026943635,35.6,30.9,11500
169,81.1,1150000-11001010200,30.2,25.6,3.3,5.9,75.1,6.7,11.8,83.4,6.9,2.1,2.2,3.4,30.4,8.7,23.5,14.4,75.7,17.7,8.1,20.4,5.4,88.9,75.0,81.3,5.1,"(38.8824160628, -77.0236944203)",DC,2324.0,-77.0236944203,38.8824160628,36.7,35.4,11500
170,65.1,1150000-11001010300,37.2,34.9,6.0,5.6,75.5,11.8,20.2,78.6,12.2,4.1,3.2,5.3,34.9,10.3,19.7,23.5,78.1,22.8,11.9,28.7,12.0,83.5,63.5,78.1,13.9,"(38.9761415355, -77.0272135707)",DC,3187.0,-77.0272135707,38.9761415355,27.2,24.7,11500
171,55.3,1150000-11001010400,44.2,40.7,7.5,4.9,78.4,14.4,27.1,77.2,14.9,5.0,3.4,6.0,36.1,12.1,17.1,28.1,77.5,24.5,14.7,35.5,14.0,82.1,58.3,76.3,18.0,"(38.8490260955, -76.9995131738)",DC,4365.0,-76.9995131738,38.8490260955,23.4,23.4,11500
172,76.5,1150000-11001010500,33.6,24.6,3.3,4.4,74.1,6.6,14.7,80.5,7.5,2.0,2.1,2.9,28.1,9.2,23.3,16.3,71.5,15.5,9.3,23.0,7.0,87.9,70.0,81.1,6.8,"(38.8818415093, -77.0133613316)",DC,3410.0,-77.0133613316,38.8818415093,33.3,31.6,11500
173,72.2,1150000-11001010600,34.0,22.3,2.8,4.0,72.3,5.9,13.6,78.5,6.6,1.9,2.0,2.5,25.5,9.1,26.0,14.7,70.6,13.7,9.0,21.7,6.2,85.2,66.8,80.5,9.8,"(38.9033049952, -77.003330428)",DC,3933.0,-77.003330428,38.9033049952,28.0,26.7,11500
174,79.8,1150000-11001010700,27.2,13.6,2.6,3.4,66.5,3.2,12.8,71.0,5.5,1.1,1.5,2.0,22.1,8.6,28.8,12.7,60.4,10.0,9.2,15.5,6.2,82.9,69.9,78.0,4.9,"(38.9039989156, -77.0419808973)",DC,1838.0,-77.0419808973,38.9039989156,37.6,33.6,11500
175,70.3,1150000-11001010800,30.2,7.9,3.1,1.2,62.5,1.5,20.4,48.4,6.3,0.6,1.0,0.8,12.8,11.1,29.2,15.7,30.3,4.9,15.1,14.7,10.4,67.6,60.4,71.1,11.1,"(38.8973521338, -77.0446120467)",DC,6408.0,-77.0446120467,38.8973521338,33.9,25.6,11500
176,39.9,1150000-11001010900,47.2,35.7,9.0,3.4,74.7,12.9,35.4,62.0,17.6,5.0,3.3,5.1,33.1,14.3,16.8,33.3,70.7,21.3,19.9,36.6,21.8,71.1,47.2,71.4,29.6,"(38.8116201244, -77.0248889119)",DC,3211.0,-77.0248889119,38.8116201244,19.9,16.3,11500
177,83.0,1150000-11001011000,29.1,29.8,3.4,7.6,78.6,7.7,9.4,87.7,6.9,2.5,2.7,4.1,33.7,8.3,20.5,13.8,79.8,21.0,6.9,20.3,4.1,89.9,76.1,81.1,4.5,"(38.8688417474, -77.0180491156)",DC,3715.0,-77.0180491156,38.8688417474,37.5,36.1,11500
178,61.3,1150000-11001011100,40.4,43.6,7.3,7.0,80.6,15.2,20.7,82.2,14.1,5.7,3.9,7.0,38.2,11.2,15.7,26.7,82.2,28.3,12.2,31.4,12.0,84.0,63.9,78.2,16.5,"(38.9161214423, -76.9665022869)",DC,4859.0,-76.9665022869,38.9161214423,25.5,23.3,11500
